gene_name	A3	A5	A8	A10	A14	A16	A17	A19	A20	A21	A22	A24	B3	B4	B7	B8	B9	B11	B14	B15	B20	B23	B24	C2	C3	C4	C5	C7	C8	C12	C13	C14	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D12	D14	E1	E2	E3	E4	E5	E6	E9	E14	F1	F2	F3	F4	F5	F6	F8	F9	F10	G1	G2	G5	G6	G7	G8	G9	G10	H1	H3	H5	H6	H7	H10	H12	I1	I4	I11	J1	J4	J6	J7	J8	J11	K1	K2	K3	K5	K6	K11	L2	L3	L4	L5	L6	L7	L8	L13	M1	M3	M6	M7	N3	N5	N6	N7	N9	O3	O5	O6	O10	P3	P7	P8
SEMA3F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ANKIB1	0	0	0	1	0	2	0	0	0	0	2	0	0	2	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	1	1	1	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	2	0	4	0	0	0	1	0
KRIT1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	1	2	0	1	0	1	0	0	0	0	1	2	2	0	0	0	0	0	9	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	1	1	2	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	4	0	0	0	0	8	0	1	0	0	2	1	1
RAD52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
BAD	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
LAP3	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	1	0	0	1	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0
CD99	5	2	11	6	0	3	2	0	2	0	6	2	3	6	0	0	1	4	3	6	1	4	1	4	2	1	0	0	2	4	6	8	0	2	7	1	0	3	3	0	3	0	0	6	1	6	2	22.1	2	2	2	0	3	4	1	4	1	5	4	5	9	1	9	2	5	0	3	7	4	4	3	0	4	1	0	2	1	0	3	2	1	1	0	1	3	3	1	3	1	0	0	1	1	0	3	5	2	3	5	0	0	1	4	0	1	1	1	37.2	2	2	2	0	0	5	5
HS3ST1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
WNT16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HECW1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
