gene_name	A1	A2	A3	A4	A5	A6	A8	A9	A10	A12	A13	A14	A17	A19	A20	A23	B1	B2	B3	B4	B5	B6	B7	B9	B10	B12	B13	B14	B16	B17	B19	B21	B22	B23	B24	C1	C2	C3	C4	C5	C6	C7	C9	C11	C12	C15	C16	C17	C18	C19	C20	C21	C24	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	D13	D14	D16	D17	D18	D19	D20	D21	D22	D23	D24	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	E13	E14	E16	E17	E18	E19	E20	E21	E22	E23	E24	F1	F2	F4	F5	F6	F7	F8	F10	F11	F12	F13	F15	F16	F17	F18	F19	F20	F22	F23	F24	G1	G2	G3	G4	G5	G6	G7	G8	G9	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	H1	H2	H3	H5	H6	H7	H9	H10	H11	H12	H13	H14	H15	H16	H17	H18	H19	H20	H21	H22	H23	H24	J2	L11	P6
ALS2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CASP10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	3	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	1	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CFLAR	0	0	1	4	4	5	0	1	0	2	9	12	3	9	0	3	2	5	9	1	0	0	0	0	0	4	2	2	0	5	2	2	0	0	5	0	0	0	0	0	0	5	8	4	1	2	3	4	6	1	0	5	6	3	2	9	3	0	0	4	1	1	5	1	3	4	19	3	2	9	2	6	2	2	1	1	0	6	5	1	3	1	2	4	0	7	2	2	1	1	5	1	9	10	1	4	0	0	1	2	3	2	5	6	2	4	1	5	2	4	1	0	7	0	4	3	3	3	2	8	1	1	4	2	2	0	6	0	0	17	5	2	6	11	6	10	4	2	1	0	2	5	1	6	9	5	11	2	3	5	2	4	6	2	3	3	6	3	1	1	1	0	10	0	0	0	0
NDUFAF7	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	3	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	2	2	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	1	1	0	0	0	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	2	0	0	0	2	0	0	2	0	0	1	1	0	0	0	0	1	2	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0
SLC7A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARF5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SARM1	0	0	3	0	1	1	0	0	0	0	0	4	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	2	0	3	0	1	1	1	0	0	0	0	1	1	0	0	1	0	0	0	0	1	4	2	0	0	1	4	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	1	0	0	0	0	1	2	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
POLDIP2	0	0	0	0	1	0	0	0	0	0	3	0	0	1	0	0	1	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	1	2	0	0	0	1	0	1	0	0	1	0	2	2	0	0	0	3	0	0	1	0	0	0	0	1	0	2	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	1	0	1	2	1	0	1	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0
PLXND1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AK2	1	0	0	0	1	2	0	0	0	1	1	4	0	1	2	3	6	1	0	0	4	0	0	2	2	6	0	0	0	3	0	0	0	0	0	0	0	1	2	0	0	1	3	0	2	3	0	3	1	0	0	3	1	0	0	2	1	0	0	0	0	0	0	4	1	0	4	1	2	0	1	1	4	1	2	0	0	2	2	3	2	0	0	1	1	2	0	0	4	0	3	0	15	1	0	5	1	0	1	1	1	0	0	0	1	6	1	0	5	0	0	0	3	0	1	2	1	1	1	0	2	0	3	0	0	0	1	1	2	3	0	0	2	3	2	2	1	1	1	1	1	0	1	1	0	2	2	1	3	1	2	2	0	0	0	1	0	1	1	0	3	1	0	0	0	0	0
CD38	0	0	0	1	0	0	1	2	0	2	1	1	0	0	0	0	0	0	0	2	4	0	0	1	0	0	0	1	0	0	0	0	0	0	1	2	1	0	0	0	0	2	4	0	0	8	1	3	5	0	0	0	2	1	7	1	1	0	0	1	2	2	3	0	0	0	0	1	1	0	1	4	0	0	0	0	0	0	0	0	0	1	0	0	3	5	0	0	0	0	1	2	1	0	1	1	0	1	0	3	1	4	1	0	0	0	0	1	1	1	0	0	0	1	0	0	1	1	0	2	0	2	1	1	4	0	1	5	1	5	2	2	3	1	1	2	0	1	0	3	5	2	1	0	3	4	0	0	2	4	0	6	6	1	2	0	1	0	1	4	0	0	0	0	0	0	0
FKBP4	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	1	0	0	2	0	0	0	3	1	0	0	0	0	3	5	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	2	0	0	1	1	0	0	0	2	1	0	0	1	0	2	3	0	0	0	4	0	0	0	0	0	0	9	2	0	4	0	0	0	0	0	0	0	1	2	4	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	1	0	1	0	1	0	1	0	0	4	0	0	0	1	2	0	0	3	3	0	0	0	0	2	0	0	0	0	0	1	1	1	0	3	0	0	0	0	0	0
